id_artists,id,name,popularity,duration_ms,explicit,artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,loudness_scale,tempo_scale,duration_scale,popularity_scale
['5LiOoJbxVSAMkBS2fUm3X2'],07A5yehtSnoedViJAZkNnc,Vivo para Quererte - Remasterizado,0,181640,0,['Ignacio Corsini'],1922-03-21,0.434,0.177,1,-21.18,1,0.0512,0.9940000000000001,0.0218,0.212,0.457,130.418,5,0.647,0.5355821393224836,0.03361524937540483,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],08FmqUhxtyLTn6pAh6bk45,El Prisionero - Remasterizado,0,176907,0,['Ignacio Corsini'],1922-03-21,0.321,0.0946,7,-27.961,1,0.0504,0.995,0.9179999999999999,0.10400000000000001,0.397,169.98,3,0.5339833333333334,0.698049748056524,0.03273933561580457,0.0
['3BiJGZsyX9sJchTqcSA7Su'],08y9GfoqCWfOGsKdwojr5e,Lady of the Evening,0,163080,0,['Dick Haymes'],1922,0.402,0.158,3,-16.9,0,0.039,0.9890000000000001,0.13,0.311,0.196,103.22,4,0.7183333333333334,0.4238892516436899,0.030180438604608124,0.0
['3BiJGZsyX9sJchTqcSA7Su'],0BRXJHRNGQ3W4v9frnSfhu,Ave Maria,0,178933,0,['Dick Haymes'],1922,0.22699999999999998,0.261,5,-12.343,1,0.0382,0.9940000000000001,0.247,0.0977,0.0539,118.891,4,0.7942833333333333,0.48824469111770913,0.03311427778291848,0.0
['4AxgXfD7ISvJSTObqm4aIE'],0IA0Hju8CAgYfV1hwhidBH,La Java,0,161427,0,['Mistinguett'],1922,0.563,0.184,4,-13.757,1,0.0512,0.993,1.55e-05,0.325,0.654,133.088,3,0.7707166666666667,0.5465469165157469,0.029874525770334042,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],0JV4iqw2lSKJaHBQZ0e5zK,Martín Fierro - Remasterizado,0,181173,0,['Ignacio Corsini'],1922-03-29,0.5479999999999999,0.0391,6,-23.228,1,0.153,0.996,0.9329999999999999,0.14800000000000002,0.612,75.595,3,0.6128666666666667,0.3104428209455991,0.033528823910428426,0.0
['7DIlOK9L8d0IQ7Xk8aJxDW'],0TWsNj5iSvbMTtbEDP7A4V,Elle Prend L'boulevard Magenta,0,172027,0,['Félix Mayol'],1922,0.7090000000000001,0.289,2,-14.978,1,0.18,0.9670000000000001,0.0,0.11900000000000001,0.84,107.515,4,0.7503666666666666,0.44152734828978224,0.031836217266586475,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],0l3BQsVJ7F76wlN5QhJzaP,El Vendaval - Remasterizado,0,153533,0,['Ignacio Corsini'],1922-03-21,0.37,0.37200000000000005,2,-17.137999999999998,1,0.0865,0.985,0.000681,0.929,0.753,159.66899999999998,4,0.7143666666666667,0.6557059961315279,0.02841362080133247,0.0
['5LiOoJbxVSAMkBS2fUm3X2'],0xJCJ9XSNcdTIz0QKmhtEn,La Maleva - Remasterizado,0,181440,0,['Ignacio Corsini'],1922-03-29,0.33899999999999997,0.0958,8,-26.944000000000003,1,0.053,0.9940000000000001,0.9690000000000001,0.12300000000000001,0.21899999999999997,86.279,3,0.5509333333333333,0.3543183563511521,0.03357823632830573,0.0
['28pbIiOohRRZjqpAM9iqYM'],112adU33vo4C1eRZct2hWy,Nuits De Chine,4,180800,0,['Louis Lynel'],1922,0.42,0.28800000000000003,7,-14.005,1,0.0701,0.9940000000000001,0.00021600000000000002,0.196,0.4,139.575,3,0.7665833333333333,0.5731868077714398,0.0334597945775886,0.04
