,Unnamed: 0,Key,MusicalKey,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
22711,22711,1,Db,0.1,2002,0.0622,"['Eminem', 'Nate Dogg']",0.5479999999999999,297787,0.847,1,4xkOaSrkexMciUUogZKVTS,0.0,0.0816,-3.237,1,'Till I Collapse,84,2002-05-26,0.18600000000000005,171.447
22754,22754,1,Db,0.236,2004,0.00121,['The Killers'],0.35200000000000004,222973,0.911,0,003vvx7Niy0yvhvHt4a68B,0.0,0.0995,-5.23,1,Mr. Brightside,80,2004,0.0747,148.033
22819,22819,1,Db,0.166,2007,0.0209,['Alicia Keys'],0.644,253813,0.5479999999999999,0,6IwKcFdiRQZOWeYNhUiWIv,8.68e-06,0.134,-5.416,0,No One,80,2007-11-09,0.0286,90.042
22845,22845,1,Db,0.575,2008,0.00864,"['Rihanna', 'JAY-Z']",0.583,275987,0.8290000000000001,0,49FYlytm3dAAraYgpoJZux,0.0,0.0426,-4.603,1,Umbrella,81,2008-06-02,0.134,174.028
22880,22880,1,Db,0.795,2010,0.185,['Train'],0.6729999999999999,216773,0.8859999999999999,0,4HlFJV71xXKIGcU3kRyttv,0.0,0.0826,-4.44,0,"Hey, Soul Sister",83,2010-12-01,0.0431,97.012
22928,22928,1,Db,0.7559999999999999,2012,0.0384,['MKTO'],0.72,175427,0.7909999999999999,0,6FE2iI43OZnszFLuLtvvmg,0.0,0.157,-4.689,1,Classic,81,2012,0.124,102.071
22987,22987,1,Db,0.211,2014,0.22,"['Ty Dolla $ign', 'The Weeknd', 'Wiz Khalifa', 'Mustard']",0.805,242983,0.33,1,7t2bFihaDvhIrd2gn2CWJO,0.0,0.105,-8.712,0,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",80,2014-06-10,0.1,121.97
22989,22989,1,Db,0.619,2014,0.00701,['WALK THE MOON'],0.578,199080,0.866,0,4kbj5MwxO1bq9wjT5g9HaA,0.0,0.257,-3.804,1,Shut Up and Dance,80,2014-12-02,0.0619,128.03799999999998
22992,22992,1,Db,0.884,2014,0.0591,['Maroon 5'],0.748,235493,0.7879999999999999,1,2iuZJX9X9P0GKaE93xcPjk,0.0,0.0863,-7.055,1,Sugar,80,2014-09-02,0.0334,120.076
23018,23018,1,Db,0.315,2015,0.611,['blackbear'],0.63,245172,0.5,1,6y6jbcPG4Yn3Du4moXaenr,4.04e-05,0.114,-8.755,0,idfc,80,2015-02-14,0.0611,144.871
23038,23038,1,Db,0.5720000000000001,2016,0.16699999999999998,['Childish Gambino'],0.743,326933,0.34700000000000003,1,0wXuerDYiBnERgIpbb3JBR,0.00951,0.103,-11.174,1,Redbone,82,2016-12-02,0.121,160.143
23039,23039,1,Db,0.86,2016,0.013,['Bruno Mars'],0.853,206693,0.56,0,0KKkJNfGyhkQ5aFogxQAPU,0.0,0.0944,-4.961,1,That's What I Like,81,2016-11-17,0.0406,134.066
